平均超额使用分钟数|over_useminutes
平均超额费用|over_cost
使用高峰语音通话的平均不完整分钟数|incomplete_minutes_PVC
平均漫游呼叫数|roaming_callcounts
每月平均使用分钟数|useminutes
客户生命周期内的总费用|totalcost_lifecycle
在职总月数|totalemployed_months
平均三通电话数|conferencecall_counts
计费调整后的总费用|totalcost_billadjust
客户生命周期内的总使用分钟数|total_useminutes_lifecycle
家庭活跃用户数|activeusers_family
尝试数据调用的平均数|try_usedata_counts
计费调整后的总分钟数|totalminutes_billadjust
平均呼入和呼出高峰语音呼叫数|inAndout_callcounts_PVC
当月费用与前三个月平均值的百分比变化|cost_percentchange_before_threemonth
客户生命周期内的平均每月使用分钟数|avg_useminutes_monthly
婚姻状况|marriage_counts
当月使用分钟数与前三个月平均值的百分比变化|useminutes_percentchange_before_threemonth
平均语音费用|voicecost
平均占线语音呼叫数|buzy_callcounts
过去三个月的平均每月使用分钟数|avg_useminutes_before_threemonth
当前设备使用天数|phone_usedays
过去三个月的平均每月通话次数|avg_callcounts_before_threemonth
平均呼叫等待呼叫数|wait_callcounts
平均未接语音呼叫数|miss_callcounts
平均掉线或占线呼叫数|drop_callcounts
数据超载的平均费用|overdata_cost
客户生命周期内的总通话次数|total_callcounts_lifecycle
平均非高峰语音呼叫数|callcounts_NPVC
平均接听语音电话数|answercounts
过去六个月的平均每月使用分钟数|avg_useminutes_before_sixmonth
计费调整后的呼叫总数|callcounts_billadjust
新手机用户|newphoneuser
账户消费限额|user_spend_limit
信用等级|credit_rating
平均客户服务电话次数|customerservice_callcounts
过去六个月的平均每月通话次数|avg_callcounts_before_sixmonth
使用客户服务电话的平均分钟数|customerservice_useminutes
平均呼叫转移呼叫数|forward_callcounts
客户整个生命周期内的平均每月通话次数|callcounts_monthly
信用卡指示器|has_creditcard
当前手机价格|phoneprice
预计收入|expect_income
完成数据调用的平均数|complete_usedata_counts
手机网络功能|phonenetwork
家庭成人人数|adults_numbers_family
是否双频|dualband_capability
平均月费用|user_values
地理区域|region
用户id|user_id
